A:
125   -16   -1    13    -6    -6    -7    3     
-8    73    8     12    -14   10    -3    2     
0     15    87    -8    -9    5     16    -2    
-3    5     -6    85    -7    7     3     15    
10    -3    -12   -10   104   14    3     -3    
-1    13    -13   -1    0     72    1     -1    
-11   -11   0     8     13    -10   88    -16   
-16   8     -15   -1    -4    -10   8     70    
A_T:
0.00813   0.0019    -5.54e-06 -0.00151  0.000536  0.000573  0.000728  0.000118  
0.000854  0.0149    -0.00152  -0.00228  0.00166   -0.00184  0.000872  0.000228  
-0.000481 -0.00268  0.0117    0.00187   0.00102   -0.00125  -0.00231  -0.00047  
-0.000157 -0.00033  0.000252  0.0119    0.000702  -0.00167  -0.000246 -0.00258  
-0.000812 0.000228  0.00108   0.00138   0.00986   -0.00231  -0.000612 1.23e-05  
-0.000131 -0.0032   0.00243   0.000927  -7.15e-05 0.014     -0.000749 -6.74e-06 
0.0015    0.00129   0.000457  -0.0015   -0.0011   0.00222   0.0113    0.00279   
0.00142   -0.00243  0.00305   0.000869  0.000841  0.00166   -0.00186  0.0138    
A_T_ans:
0.00813   0.0019    -5.56e-06 -0.00151  0.000536  0.000573  0.000728  0.000118  
0.000854  0.0149    -0.00152  -0.00228  0.00166   -0.00184  0.000872  0.000228  
-0.000481 -0.00268  0.0117    0.00187   0.00102   -0.00125  -0.00231  -0.00047  
-0.000157 -0.00033  0.000252  0.0119    0.000702  -0.00167  -0.000246 -0.00258  
-0.000812 0.000228  0.00108   0.00138   0.00986   -0.00231  -0.000612 1.23e-05  
-0.000132 -0.0032   0.00243   0.000927  -7.15e-05 0.014     -0.000749 -6.79e-06 
0.0015    0.00129   0.000457  -0.0015   -0.0011   0.00222   0.0113    0.00279   
0.00142   -0.00243  0.00305   0.000869  0.000841  0.00166   -0.00186  0.0138    
error:7.329425955049373e-10error_ans2.7982391471076343e-13
A:
106   10    16    6     7     -10   -2    16    
2     85    -12   -2    -7    -9    16    -8    
-11   -8    124   7     7     -2    -9    -9    
7     5     10    117   13    2     -2    7     
-8    14    7     -2    92    5     14    14    
1     6     3     -8    6     72    15    4     
-1    0     15    -13   -15   0     97    1     
7     -6    -15   -12   7     -7    -3    119   
A_T:
0.00938   -0.00129  -0.00147  -0.000483 -0.000568 0.00102   0.000141  -0.0014   
-0.000147 0.0118    0.00145   9.1e-05   0.000283  0.00156   -0.00207  0.000851  
0.000766  0.000786  0.00808   -0.000347 -0.000542 0.000537  0.000643  0.000622  
-0.000676 -0.000317 -0.000653 0.00858   -0.00103  -0.000353 0.000347  -0.000354 
0.000866  -0.00198  -0.00091  -0.000199 0.0107    -0.00104  -0.00118  -0.00153  
-0.00027  -0.000812 -0.000183 0.00069   -0.00129  0.0138    -0.00183  -0.000368 
2.77e-05  -0.000492 -0.00151  0.00116   0.00161   -0.00029  0.0101    -0.000483 
-0.000597 0.000795  0.00112   0.000935  -0.000792 0.000915  0.000219  0.00863   
A_T_ans:
0.00938   -0.00129  -0.00147  -0.000483 -0.000568 0.00102   0.000141  -0.0014   
-0.000147 0.0118    0.00145   9.1e-05   0.000283  0.00156   -0.00207  0.000851  
0.000766  0.000786  0.00808   -0.000347 -0.000542 0.000537  0.000643  0.000622  
-0.000676 -0.000317 -0.000653 0.00858   -0.00103  -0.000353 0.000347  -0.000354 
0.000866  -0.00198  -0.00091  -0.000199 0.0107    -0.00104  -0.00118  -0.00153  
-0.00027  -0.000812 -0.000183 0.00069   -0.00129  0.0138    -0.00183  -0.000368 
2.78e-05  -0.000492 -0.00151  0.00116   0.00161   -0.00029  0.0101    -0.000483 
-0.000597 0.000795  0.00112   0.000936  -0.000792 0.000915  0.000219  0.00863   
error:8.529319472927455e-10error_ans3.1387478586798165e-14
A:
118   -5    -10   -5    11    -12   -6    -10   
-7    97    -15   -9    16    7     -8    16    
6     16    78    4     2     0     3     10    
14    -8    14    75    8     2     3     10    
16    4     -1    6     81    -9    12    16    
-14   5     13    -8    0     98    -11   -8    
-8    -6    1     -13   -2    7     73    -11   
-14   11    1     5     -9    6     4     115   
A_T:
0.00878   0.000352  0.000864  0.000874  -0.00125  0.000795  0.000965  0.000885  
0.000492  0.0105    0.00193   0.00162   -0.00247  -0.00097  0.00138   -0.00132  
-0.000794 -0.00215  0.0125    -0.00104  0.000216  0.000202  -0.00073  -0.00085  
-0.00143  0.00164   -0.00222  0.0137    -0.00156  -0.000628 -0.000181 -0.00119  
-0.00178  -0.000679 -0.00013  -0.00129  0.0126    0.00126   -0.00195  -0.00179  
0.00137   -4.07e-05 -0.00183  0.00149   -0.000125 0.0102    0.00162   0.00103   
0.000708  0.00104   -0.000141 0.00236   -9.05e-05 -0.00107  0.0136    0.00096   
0.000855  -0.0011   -1.25e-06 -0.000893 0.00115   -0.000179 -0.000709 0.00876   
A_T_ans:
0.00878   0.000352  0.000864  0.000874  -0.00125  0.000795  0.000965  0.000885  
0.000492  0.0105    0.00193   0.00162   -0.00247  -0.00097  0.00138   -0.00132  
-0.000794 -0.00215  0.0125    -0.00104  0.000216  0.000202  -0.00073  -0.00085  
-0.00143  0.00164   -0.00222  0.0137    -0.00156  -0.000628 -0.000181 -0.00119  
-0.00178  -0.000679 -0.00013  -0.00129  0.0126    0.00126   -0.00195  -0.00179  
0.00137   -4.07e-05 -0.00183  0.00149   -0.000125 0.0102    0.00162   0.00103   
0.000708  0.00104   -0.000141 0.00236   -9.05e-05 -0.00107  0.0136    0.00096   
0.000855  -0.0011   -1.26e-06 -0.000893 0.00115   -0.000179 -0.000709 0.00876   
error:7.661746792564372e-10error_ans2.843801867136388e-14
A:
68    -5    16    2     -4    -8    -7    -16   
7     79    16    -12   6     10    -11   -12   
-16   -14   105   3     4     -2    -10   -2    
-15   -12   -8    124   -3    8     11    16    
0     -8    16    -14   121   3     9     12    
4     8     -16   -8    -1    124   0     9     
2     14    13    4     -12   10    87    0     
2     -5    8     14    -13   2     15    89    
A_T:
0.0139    0.000485  -0.00246  -0.00026  0.000814  0.000741  0.000437  0.00237   
-0.00151  0.0124    -0.00194  0.000965  -0.000351 -0.00128  0.000902  0.00136   
0.00181   0.00145   0.00882   -0.000238 -0.000102 4.63e-05  0.00125   0.000771  
0.00179   0.00149   0.00019   0.00827   2.83e-05  -0.000478 -0.000536 -0.000916 
-2.47e-05 0.000889  -0.00113  0.00117   0.00808   -0.000279 -0.000799 -0.00118  
5.38e-05  -0.000583 0.00141   0.00053   -1.88e-05 0.0081    0.000191  -0.00095  
-0.000439 -0.0021   -0.00127  -0.000394 0.00117   -0.000767 0.011     -0.0004   
-0.000772 0.000817  -0.000858 -0.000994 0.00095   -0.000111 -0.00197  0.0112    
A_T_ans:
0.0139    0.000485  -0.00246  -0.00026  0.000814  0.000741  0.000437  0.00237   
